
> tempcontrol@0.1.0 worker
> tsx --env-file=.env.local worker/poller.ts

[poller 2026-08-01T12:45:14.571Z] starting, interval 300s, provider tuya
[poller 2026-08-01T12:45:16.089Z] sensors=1 written=1 skipped=0 alerts(opened=0 resolved=0)
[poller 2026-08-01T12:50:17.052Z] sensors=1 written=0 skipped=1 alerts(opened=0 resolved=0)
[poller 2026-08-01T12:55:17.659Z] sensors=1 written=0 skipped=1 alerts(opened=1 resolved=0)
[poller 2026-08-01T13:00:17.274Z] sensors=1 written=0 skipped=1 alerts(opened=0 resolved=1)
[poller 2026-08-01T13:05:17.221Z] sensors=1 written=0 skipped=1 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:10:17.217Z] sensors=1 written=0 skipped=1 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:15:17.196Z] sensors=1 written=1 skipped=0 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:20:17.046Z] sensors=1 written=0 skipped=1 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:25:17.413Z] sensors=1 written=0 skipped=1 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:30:17.205Z] sensors=1 written=0 skipped=1 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:35:17.241Z] sensors=1 written=0 skipped=1 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:40:17.259Z] sensors=1 written=1 skipped=0 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:45:17.226Z] sensors=1 written=0 skipped=1 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:50:16.217Z] sensors=0 written=0 skipped=0 alerts(opened=0 resolved=0)
[poller 2026-08-01T13:55:16.207Z] sensors=0 written=0 skipped=0 alerts(opened=0 resolved=0)
[poller 2026-08-01T14:27:31.139Z] sensors=0 written=0 skipped=0 alerts(opened=0 resolved=0)
[poller 2026-08-01T14:32:30.419Z] sensors=0 written=0 skipped=0 alerts(opened=0 resolved=0)
[poller 2026-08-01T14:37:30.423Z] sensors=0 written=0 skipped=0 alerts(opened=0 resolved=0)
[poller 2026-08-01T14:42:30.431Z] sensors=0 written=0 skipped=0 alerts(opened=0 resolved=0)
